Time Step #,Time(s),"Position (North, metres)","Position (East, metres)",Altitude (metres),"Velocity (North, m/s)","Velocity (East, m/s)","Velocity (Up, m/s)","Acceleration (North, m/s2)","Acceleration (East, m/s2)","Acceleration (Up, m/s2)"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05,-0.021,0.021,0.0,-0.425,0.425,-2.924,-8.509,8.509,-58.482
2,0.1,-0.064,0.064,0.146,-0.851,0.851,-5.852,-8.516,8.515,-58.563
3,0.15,-0.128,0.128,0.439,-1.277,1.277,-8.784,-8.522,8.521,-58.644
4,0.2,-0.213,0.213,0.878,-1.701,1.701,-11.704,-8.483,8.482,-58.385
5,0.25,-0.319,0.319,1.463,-2.124,2.123,-14.61,-8.442,8.44,-58.124
6,0.3,-0.446,0.446,2.194,-2.544,2.543,-17.504,-8.4,8.398,-57.881
7,0.35,-0.594,0.594,3.069,-2.961,2.961,-20.386,-8.356,8.354,-57.636
8,0.4,-0.763,0.763,4.088,-3.377,3.376,-23.256,-8.312,8.309,-57.408
9,0.45,-0.953,0.952,5.251,-3.79,3.79,-26.115,-8.266,8.263,-57.178
10,0.5,-1.163,1.162,6.557,-4.201,4.2,-28.963,-8.219,8.215,-56.964
11,0.55,-1.393,1.393,8.005,-4.61,4.609,-31.801,-8.172,8.168,-56.748
12,0.6,-1.644,1.644,9.595,-5.016,5.015,-34.628,-8.126,8.122,-56.545
13,0.65,-1.915,1.915,11.326,-5.42,5.419,-37.445,-8.081,8.076,-56.34
14,0.7,-2.206,2.206,13.199,-5.822,5.82,-40.252,-8.039,8.033,-56.147
15,0.75,-2.517,2.517,15.211,-6.222,6.22,-43.05,-7.997,7.992,-55.953
16,0.8,-2.848,2.847,17.364,-6.62,6.618,-45.838,-7.96,7.953,-55.769
17,0.85,-3.199,3.198,19.656,-7.016,7.013,-48.617,-7.924,7.918,-55.583
18,0.9,-3.57,3.568,22.086,-7.411,7.408,-51.388,-7.893,7.886,-55.406
19,0.95,-3.96,3.959,24.656,-7.804,7.801,-54.149,-7.866,7.858,-55.227
20,1.0,-4.37,4.368,27.363,-8.196,8.192,-56.902,-7.844,7.836,-55.056
21,1.05,-4.799,4.797,30.208,-8.588,8.583,-59.646,-7.827,7.819,-54.883
22,1.1,-5.248,5.246,33.191,-8.979,8.974,-62.382,-7.817,7.809,-54.718
23,1.15,-5.716,5.714,36.31,-9.369,9.364,-65.109,-7.813,7.805,-54.549
24,1.2,-6.204,6.202,39.565,-9.76,9.755,-67.829,-7.818,7.809,-54.386
25,1.25,-6.712,6.709,42.957,-10.152,10.146,-70.54,-7.831,7.821,-54.22
26,1.3,-7.239,7.236,46.484,-10.546,10.539,-73.242,-7.883,7.873,-54.052
27,1.35,-7.786,7.783,50.146,-10.944,10.937,-75.936,-7.965,7.955,-53.874
28,1.4,-8.354,8.35,53.943,-11.347,11.34,-78.621,-8.065,8.054,-53.698
29,1.45,-8.942,8.937,57.874,-11.756,11.748,-81.297,-8.183,8.172,-53.516
30,1.5,-9.55,9.546,61.938,-12.172,12.164,-83.963,-8.321,8.309,-53.334
31,1.55,-10.18,10.175,66.137,-12.596,12.587,-86.621,-8.478,8.466,-53.145
32,1.6,-10.831,10.826,70.468,-13.029,13.019,-89.268,-8.655,8.643,-52.955
33,1.65,-11.505,11.499,74.931,-13.472,13.461,-91.906,-8.852,8.839,-52.757
34,1.7,-12.201,12.195,79.526,-13.925,13.914,-94.534,-9.062,9.048,-52.559
35,1.75,-12.921,12.914,84.253,-14.389,14.377,-97.152,-9.286,9.272,-52.354
36,1.8,-13.664,13.656,89.111,-14.866,14.853,-99.759,-9.529,9.514,-52.147
37,1.85,-14.432,14.423,94.099,-15.355,15.341,-102.356,-9.787,9.772,-51.931
38,1.9,-15.225,15.215,99.216,-15.858,15.844,-104.941,-10.062,10.045,-51.712
39,1.95,-16.043,16.033,104.463,-16.376,16.36,-107.516,-10.35,10.332,-51.489
40,2.0,-16.889,16.878,109.839,-16.908,16.892,-110.079,-10.65,10.631,-51.265
41,2.05,-17.762,17.75,115.343,-17.456,17.439,-112.631,-10.957,10.937,-51.034
42,2.1,-18.663,18.65,120.975,-18.019,18.001,-115.171,-11.269,11.248,-50.801
43,2.15,-19.593,19.579,126.733,-18.598,18.579,-117.699,-11.582,11.56,-50.565
44,2.2,-20.552,20.538,132.618,-19.193,19.173,-120.215,-11.892,11.868,-50.33
45,2.25,-21.542,21.527,138.629,-19.803,19.781,-122.72,-12.194,12.169,-50.094
46,2.3,-22.564,22.547,144.765,-20.427,20.404,-125.213,-12.486,12.459,-49.863
47,2.35,-23.617,23.599,151.026,-21.065,21.041,-127.695,-12.761,12.733,-49.634
48,2.4,-24.703,24.683,157.41,-21.716,21.69,-130.166,-13.017,12.988,-49.417
49,2.45,-25.822,25.801,163.919,-22.378,22.351,-132.626,-13.25,13.218,-49.205
50,2.5,-26.974,26.952,170.55,-23.051,23.022,-135.076,-13.455,13.422,-49.007
51,2.55,-28.161,28.137,177.304,-23.733,23.702,-137.517,-13.629,13.595,-48.82
52,2.6,-29.382,29.357,184.18,-24.421,24.388,-139.95,-13.77,13.733,-48.651
53,2.65,-30.638,30.611,191.177,-25.115,25.08,-142.375,-13.872,13.834,-48.498
54,2.7,-31.928,31.899,198.296,-25.811,25.775,-144.793,-13.935,13.895,-48.366
